Id,step,cfg,width,height,token_count,sampler,Duration
654,20,7.0,512,704,51,8,2431
48297,20,7.0,512,512,6,8,1485
49641,20,7.0,512,512,58,8,2312
46506,50,15.0,960,512,30,8,6457
4750,50,7.0,512,512,69,8,4373
44707,20,7.0,512,512,17,8,1457
2803,20,7.0,1024,512,70,8,3085
31805,20,7.0,512,640,41,8,1775
32708,20,7.0,512,512,6,8,1501
17101,44,17.0,512,704,74,8,4108
14660,38,15.0,512,512,36,8,3854
44811,26,8.0,576,704,9,8,2912
46682,20,7.0,512,512,40,8,1459
1868,20,7.0,512,512,34,8,1455
36834,20,7.0,1024,512,19,8,3395
53741,20,7.0,512,512,4,8,2196
58490,50,7.0,1024,576,9,8,8237
18676,50,10.0,512,768,29,8,5609
20318,20,7.0,512,576,72,8,1768
57126,20,7.0,512,512,17,8,2291
20813,20,7.0,512,512,41,8,2527
50098,20,7.0,512,512,27,8,2413
16914,20,7.0,704,512,14,8,2442
44383,20,7.0,512,512,32,8,1482
52424,20,15.0,1024,640,28,8,4400
51521,20,7.0,512,512,12,8,1506
52963,20,7.0,512,768,77,8,2179
48406,20,10.0,512,512,39,8,2470
56890,20,7.0,512,512,32,8,2236
12346,20,7.0,512,768,37,8,2914
41852,20,7.0,512,512,33,8,2510
58563,20,7.0,512,512,5,8,2221
30484,7,7.0,512,512,13,8,1280
56249,35,7.0,512,640,56,8,3058
50831,27,10.0,576,512,40,3,3176
10943,20,7.0,512,512,10,8,2648
25742,20,7.0,512,512,13,8,2545
23151,20,7.0,512,512,44,8,2283
55052,50,7.0,512,512,8,8,3468
31987,20,15.0,512,704,38,8,1964
37444,9,7.0,512,512,76,8,742
52012,50,7.0,512,512,22,8,3505
35824,20,7.0,512,512,48,8,2531
8435,20,7.0,512,512,25,8,1469
857,32,14.0,512,704,10,8,3012
2365,20,15.0,512,704,56,8,1954
13875,20,7.0,512,512,14,8,2284
6890,20,7.0,512,512,57,8,2424
1970,20,7.0,1024,1024,51,8,6829
16505,20,7.0,768,512,33,8,2909
24731,20,7.0,512,512,7,8,1532
42154,20,17.0,512,768,64,8,2168
31817,20,7.0,512,512,21,8,2179
24367,50,7.0,512,512,36,8,3497
2805,20,7.0,512,1024,72,8,3210
14251,20,7.0,512,768,57,8,2775
32286,20,7.0,512,704,43,8,2377
50173,20,7.0,512,512,3,8,1457
6214,20,7.0,512,512,46,8,2024
9209,20,7.0,512,512,6,8,1460
42777,20,7.0,512,768,65,8,2185
4278,20,7.0,512,512,9,8,2206
30602,20,7.0,512,512,27,8,2035
242,29,12.5,512,768,77,8,3057
17595,35,7.0,512,704,52,8,3310
45620,27,10.0,640,704,45,8,3791
54573,20,7.0,512,512,18,8,2021
6818,35,7.0,512,512,9,8,3058
49684,20,7.0,512,512,50,8,2320
4805,20,9.5,512,768,71,8,2585
19125,44,17.0,512,704,74,8,4465
34736,20,7.0,512,512,23,8,1461
20875,50,7.5,512,832,34,8,5811
49801,20,7.0,512,512,37,8,2234
30348,20,7.0,512,512,14,8,1458
1457,20,7.0,512,832,30,8,2321
44349,7,7.0,1024,512,31,8,1702
8049,20,7.0,512,512,18,8,2112
27760,20,7.0,512,512,10,8,2156
30414,20,7.0,512,512,15,8,2320
41040,20,18.0,768,512,36,8,2601
26742,20,7.0,512,512,20,8,1449
56843,50,15.0,512,640,89,8,4750
57391,20,7.0,512,512,35,8,1484
28048,15,15.0,512,512,84,8,1944
40144,20,7.0,512,640,59,8,2578
25337,20,7.0,512,768,11,8,2164
14868,20,7.0,512,512,15,8,1459
24332,20,7.0,512,512,15,8,2276
50607,20,7.0,512,512,55,8,2069
40625,20,7.0,512,512,31,8,2257
1069,20,7.0,512,512,12,8,2042
35234,20,7.0,768,512,53,8,2179
6403,50,20.0,512,1600,73,8,11915
5009,20,7.0,512,512,7,8,1463
57926,20,7.0,512,512,12,8,1467
41737,20,7.0,640,512,42,8,2356
57968,20,7.0,512,512,16,8,1973
24999,20,14.0,512,512,19,8,1494
56951,20,7.0,512,512,74,8,2029
52356,20,7.0,1216,768,21,8,5867
21676,35,7.0,704,512,18,8,3848
7736,20,7.0,512,512,54,8,1936
42581,20,7.0,512,512,3,8,1460
45192,20,7.0,512,512,39,8,2004
52261,50,7.0,512,704,60,4,4627
23143,20,7.0,512,512,15,8,1455
