Id,step,cfg,width,height,token_count,sampler,Duration
2298,20,15.0,512,704,58,8,2113
37096,20,7.0,512,640,56,8,2041
22395,20,7.0,512,512,26,8,1721
42804,20,7.0,512,512,16,8,1743
40195,20,7.0,1024,512,35,8,3016
25069,20,7.0,1280,704,12,8,5739
48740,20,7.0,704,512,54,8,2167
20299,43,20.0,512,768,11,8,4433
26288,44,16.0,512,512,62,8,3401
10220,20,7.0,512,512,37,8,1763
21613,20,13.0,512,640,39,8,2170
3885,50,10.0,1024,512,79,8,6889
11404,20,7.0,512,512,10,8,1707
16660,35,12.0,512,512,21,8,2806
49577,20,8.7,1024,512,51,8,3020
7536,17,15.0,832,1024,33,4,4769
57555,50,7.0,512,832,34,8,5751
35106,20,13.0,640,640,52,1,2431
456,20,7.0,512,512,13,8,1762
10979,50,7.0,512,768,70,8,5272
34088,20,13.0,1280,704,63,8,5638
16842,20,7.0,512,512,29,8,1756
49333,20,9.0,512,704,28,8,2118
17212,20,7.0,512,512,17,8,1763
2038,20,7.0,1024,512,8,8,3024
47486,20,7.0,1024,576,21,8,3307
44742,20,7.0,512,512,3,8,1682
8827,20,7.0,896,512,51,8,2722
58921,20,7.0,512,512,45,8,1750
57252,20,7.0,512,512,29,8,1756
11327,20,7.0,512,768,39,8,2381
14370,20,7.0,512,512,28,8,1721
4757,50,16.0,512,704,58,8,4847
41416,19,15.0,1344,768,35,8,6377
42933,20,7.0,512,512,10,8,1707
39763,20,7.0,512,768,80,8,2366
44271,20,12.0,704,512,97,8,2116
41952,20,7.0,512,768,62,8,2365
56485,20,7.0,512,512,13,8,1762
26906,20,7.0,1024,512,73,8,3025
57383,20,7.0,512,512,54,8,1740
26191,20,7.0,512,512,11,8,1759
13358,20,7.0,512,512,19,8,1763
34335,20,7.0,512,512,24,8,1761
27465,20,7.0,512,512,11,8,1759
25226,20,7.0,512,512,5,8,1770
31457,20,15.0,512,896,64,8,2672
11160,50,7.0,512,512,15,8,3735
36665,20,7.0,512,512,35,8,1763
29287,20,7.0,512,512,7,8,1723
6536,33,11.5,640,512,77,8,3315
38382,20,7.0,512,512,30,8,1732
8986,20,7.0,512,512,19,8,1763
12043,20,7.0,512,512,21,8,1773
46762,20,7.0,640,512,82,8,2089
24830,35,2.0,512,512,35,8,2921
2585,20,7.0,512,512,77,8,1775
30601,20,15.0,512,512,65,8,1791
45878,50,10.0,512,768,53,8,5315
58501,50,7.0,1024,576,32,8,8061
2705,50,7.0,512,512,25,8,3719
29472,20,7.0,1024,576,8,8,3351
23329,20,7.0,512,512,1,8,1664
6059,20,7.0,576,512,13,8,2038
12984,20,7.0,512,512,4,8,1697
51451,20,7.0,512,704,32,8,2098
10849,20,7.0,512,512,23,8,1764
40440,20,7.0,512,512,79,8,1824
48776,20,7.0,512,512,2,8,1689
21168,20,7.0,512,512,31,8,1785
37025,20,7.0,512,512,16,8,1743
47341,20,11.0,512,704,29,8,2153
21787,20,7.0,512,512,14,8,1762
1939,20,7.0,640,640,34,8,2309
6778,20,7.0,768,512,39,8,2363
13816,50,9.75,512,768,42,8,5307
43860,50,12.0,512,512,17,8,3711
3283,20,7.0,512,704,78,8,2158
27006,35,7.0,512,704,53,8,3463
31135,20,7.0,512,512,29,8,1756
19527,20,12.0,1472,704,57,8,6492
52670,50,15.5,576,1024,83,8,8229
55814,20,10.0,512,512,52,8,1747
46295,27,12.0,512,768,56,8,2853
15951,20,7.0,896,1088,20,8,6031
3621,20,7.0,512,512,51,8,1756
